iter	Passed	Remaining
241	918	2877
242	923	2877
243	928	2877
244	932	2875
245	937	2874
246	941	2869
247	944	2864
248	948	2861
249	952	2858
250	956	2853
251	961	2853
252	965	2850
253	969	2848
254	975	2851
255	986	2865
256	991	2865
257	995	2863
258	1000	2862
259	1004	2859
260	1009	2859
261	1013	2856
262	1018	2853
263	1021	2847
264	1025	2844
265	1029	2841
266	1032	2834
267	1036	2831
268	1040	2827
269	1045	2826
270	1050	2827
271	1054	2822
272	1057	2817
273	1062	2814
274	1065	2808
275	1068	2803
276	1071	2797
277	1076	2795
278	1080	2792
279	1084	2788
280	1087	2783
281	1091	2778
282	1094	2772
283	1097	2767
284	1101	2762
285	1104	2757
286	1107	2750
287	1110	2746
288	1114	2741
289	1117	2735
290	1120	2730
291	1123	2724
292	1127	2719
293	1130	2713
294	1133	2708
295	1136	2702
296	1139	2697
297	1142	2692
298	1146	2687
299	1149	2682
300	1152	2677
301	1156	2672
302	1159	2667
303	1162	2662
304	1167	2659
305	1170	2655
306	1173	2648
307	1176	2643
308	1180	2639
309	1183	2633
310	1186	2628
311	1189	2623
312	1192	2618
313	1195	2611
314	1198	2606
315	1202	2602
316	1205	2596
317	1208	2591
318	1211	2586
319	1215	2582
320	1219	2578
321	1223	2576
322	1228	2574
323	1232	2571
324	1240	2576
325	1248	2580
326	1255	2584
327	1264	2590
328	1272	2595
329	1277	2593
330	1281	2589
331	1287	2590
332	1294	2592
333	1300	2592
334	1304	2590
335	1311	2591
336	1315	2588
337	1318	2581
338	1322	2579
339	1326	2575
340	1329	2569
341	1332	2563
342	1336	2559
343	1339	2555
344	1343	2551
345	1346	2545
346	1350	2541
347	1352	2534
348	1355	2528
349	1358	2522
350	1361	2517
351	1364	2512
352	1367	2506
353	1370	2501
354	1374	2496
355	1377	2492
356	1380	2487
357	1383	2481
358	1386	2475
359	1391	2473
360	1394	2468
361	1398	2464
362	1401	2459
363	1404	2454
364	1407	2449
365	1412	2445
366	1415	2440
367	1418	2436
368	1422	2431
369	1425	2427
370	1428	2421
371	1431	2416
372	1434	2411
373	1437	2406
374	1442	2403
375	1445	2398
376	1449	2395
377	1453	2391
378	1456	2386
379	1460	2383
380	1464	2380
381	1467	2374
382	1472	2371
383	1475	2367
384	1479	2363
385	1484	2361
386	1488	2357
387	1494	2357
388	1500	2356
389	1506	2355
390	1512	2355
391	1525	2365
392	1532	2366
393	1540	2369
394	1551	2376
395	1556	2374
396	1560	2370
397	1564	2366
398	1571	2366
399	1577	2365
400	1582	2364
401	1595	2373
402	1604	2376
403	1612	2378
404	1618	2377
405	1624	2376
406	1630	2375
407	1636	2373
408	1641	2371
409	1648	2372
410	1657	2374
411	1664	2374
412	1668	2371
413	1673	2368
414	1677	2364
415	1683	2363
416	1690	2363
417	1696	2361
418	1705	2365
419	1713	2365
420	1718	2362
421	1722	2359
422	1726	2354
423	1731	2352
424	1735	2348
425	1738	2343
426	1743	2339
427	1748	2336
428	1751	2331
429	1756	2328
430	1760	2324
431	1765	2321
432	1769	2316
433	1773	2312
434	1777	2308
435	1781	2304
436	1786	2301
437	1790	2297
438	1794	2292
439	1797	2288
440	1803	2285
441	1808	2282
442	1812	2279
443	1816	2274
444	1820	2270
445	1825	2266
446	1828	2261
447	1833	2259
448	1837	2255
449	1841	2251
450	1845	2246
451	1849	2242
452	1853	2237
453	1857	2233
454	1861	2229
455	1864	2224
456	1868	2220
457	1873	2216
458	1877	2212
459	1881	2208
460	1887	2206
461	1892	2204
462	1897	2201
463	1902	2198
464	1906	2193
465	1911	2189
466	1916	2187
467	1921	2183
468	1927	2182
469	1932	2179
470	1937	2176
471	1942	2172
472	1947	2169
473	1950	2165
474	1955	2161
475	1960	2157
476	1964	2154
477	1970	2151
478	1975	2148
479	1978	2143
480	1982	2138
481	1985	2134
482	1989	2129
483	1992	2124
484	1996	2119
485	2000	2115
486	2003	2110
487	2009	2108
488	2013	2103
489	2017	2099
490	2020	2094
491	2026	2092
492	2029	2086
493	2032	2082
494	2037	2078
495	2041	2074
496	2046	2071
497	2050	2066
498	2054	2063
499	2060	2060
500	2064	2055
501	2068	2051
502	2072	2048
503	2078	2045
504	2084	2043
505	2090	2040
506	2094	2036
507	2097	2031
508	2102	2028
509	2105	2023
510	2110	2019
511	2115	2016
512	2119	2011
513	2122	2007
514	2128	2004
515	2132	2000
516	2137	1996
517	2140	1991
518	2144	1987
519	2150	1985
520	2154	1980
521	2158	1976
522	2163	1973
523	2167	1968
524	2172	1965
525	2176	1961
526	2180	1956
527	2184	1952
528	2188	1948
529	2193	1945
530	2198	1941
531	2203	1938
532	2208	1934
533	2213	1931
534	2219	1928
535	2225	1926
536	2228	1921
537	2234	1918
538	2238	1914
539	2244	1911
540	2250	1909
541	2255	1905
542	2259	1901
543	2263	1897
544	2267	1892
545	2271	1888
546	2275	1884
547	2280	1880
548	2283	1876
549	2287	1871
550	2291	1867
551	2296	1863
552	2301	1860
553	2304	1854
554	2308	1850
555	2313	1847
556	2317	1842
557	2322	1839
558	2325	1834
559	2329	1830
560	2333	1825
561	2336	1820
562	2341	1817
563	2345	1812
564	2348	1808
565	2352	1803
566	2355	1799
567	2358	1794
568	2363	1790
569	2368	1786
570	2372	1782
571	2377	1778
572	2381	1774
573	2385	1770
574	2388	1765
575	2392	1761
576	2397	1757
577	2402	1753
578	2405	1749
579	2408	1743
580	2413	1740
581	2417	1736
582	2420	1731
583	2424	1726
584	2427	1721
585	2431	1717
586	2435	1713
587	2438	1708
588	2441	1703
589	2446	1700
590	2450	1695
591	2455	1692
592	2459	1687
593	2463	1683
594	2467	1679
595	2472	1675
596	2478	1672
597	2482	1668
598	2487	1665
599	2492	1661
600	2498	1658
601	2502	1654
602	2507	1650
603	2511	1646
604	2514	1641
605	2519	1638
606	2523	1633
607	2527	1629
608	2532	1625
609	2536	1621
610	2540	1617
611	2544	1613
612	2549	1609
613	2553	1605
614	2557	1600
615	2561	1596
616	2565	1592
617	2569	1588
618	2575	1585
619	2580	1581
620	2584	1577
621	2588	1573
622	2592	1569
623	2598	1565
624	2603	1561
625	2607	1557
626	2611	1553
627	2614	1548
628	2619	1545
629	2623	1540
630	2629	1537
631	2634	1533
632	2641	1531
633	2647	1528
634	2652	1524
635	2659	1521
636	2667	1520
637	2674	1517
638	2687	1518
639	2693	1514
640	2699	1512
641	2704	1508
642	2709	1504
643	2734	1511
644	2741	1508
645	2748	1506
646	2757	1504
647	2763	1501
648	2770	1498
649	2777	1495
650	2784	1492
651	2791	1489
652	2798	1487
653	2805	1484
654	2813	1481
655	2820	1478
656	2827	1476
657	2833	1472
658	2840	1469
659	2848	1467
660	2854	1463
661	2860	1460
662	2866	1456
663	2874	1454
664	2879	1450
665	2887	1447
666	2894	1445
667	2900	1441
668	2905	1437
669	2910	1433
670	2914	1429
671	2919	1425
672	2924	1420
673	2929	1417
674	2934	1412
675	2944	1411
676	2954	1409
677	3062	1454
678	3070	1451
679	3079	1449
680	3089	1447
681	3124	1456
682	3138	1456
683	3149	1455
684	3157	1451
685	3163	1448
686	3170	1444
687	3175	1439
688	3179	1435
689	3192	1434
690	3199	1430
691	3208	1427
692	3213	1423
693	3220	1420
694	3227	1416
695	3237	1413
696	3243	1409
697	3249	1406
698	3254	1401
699	3263	1398
700	3269	1394
701	3274	1390
702	3281	1386
703	3288	1382
704	3296	1379
705	3304	1376
706	3312	1372
707	3320	1369
708	3329	1366
709	3338	1363
710	3350	1361
711	3361	1359
712	3371	1357
713	3379	1353
714	3390	1351
715	3404	1350
716	3413	1347
717	3419	1343
718	3426	1339
719	3434	1335
720	3443	1332
721	3451	1328
722	3458	1325
723	3466	1321
724	3476	1318
725	3481	1314
726	3491	1311
727	3498	1307
728	3504	1302
729	3510	1298
730	3517	1294
731	3522	1289
732	3529	1285
733	3536	1281
734	3544	1277
735	3553	1274
736	3564	1271
737	3571	1267
738	3575	1262
739	3584	1259
740	3590	1255
741	3595	1250
742	3601	1245
743	3606	1240
744	3611	1236
745	3617	1231
746	3621	1226
747	3625	1221
748	3630	1216
749	3635	1211
750	3639	1206
751	3644	1202
752	3650	1197
753	3654	1192
754	3659	1187
755	3666	1183
756	3671	1178
757	3678	1174
758	3682	1169
759	3686	1164
760	3690	1159
761	3695	1154
762	3700	1149
763	3707	1145
764	3711	1140
765	3718	1135
766	3723	1131
767	3729	1126
768	3737	1122
769	3742	1117
770	3747	1113
771	3754	1108
772	3759	1104
773	3764	1099
774	3771	1094
775	3776	1090
776	3783	1085
777	3788	1081
778	3793	1076
779	3797	1071
780	3801	1066
781	3806	1061
782	3811	1056
783	3818	1051
784	3824	1047
785	3829	1042
786	3833	1037
787	3838	1032
788	3842	1027
789	3846	1022
790	3852	1018
791	3859	1013
792	3867	1009
793	3871	1004
794	3876	999
795	3883	995
796	3889	990
797	3893	985
798	3900	981
799	3907	976
800	3913	972
801	3921	968
802	3926	963
803	3931	958
804	3940	954
805	3948	950
806	3955	946
807	3967	942
808	3975	938
809	3985	934
810	3991	930
811	3998	925
812	4004	921
813	4008	915
814	4012	910
815	4017	905
816	4021	900
817	4025	895
818	4031	890
819	4034	885
820	4038	880
821	4043	875
822	4048	870
823	4052	865
824	4056	860
825	4062	855
826	4070	851
827	4077	846
828	4086	842
829	4095	838
830	4102	834
831	4109	829
832	4115	825
833	4121	820
834	4126	815
835	4131	810
836	4140	806
837	4177	807
838	4186	803
839	4192	798
840	4202	794
841	4208	789
842	4215	785
843	4225	781
844	4232	776
845	4238	771
846	4245	766
847	4251	762
848	4281	761
849	4289	756
850	4302	753
851	4313	749
852	4321	744
853	4331	740
854	4348	737
855	4359	733
856	4370	729
857	4381	725
858	4389	720
859	4396	715
860	4420	713
861	4432	709
862	4437	704
863	4444	699
864	4452	694
865	4464	690
866	4476	686
867	4484	681
868	4497	677
869	4504	673
870	4510	668
871	4521	663
872	4530	659
873	4540	654
874	4556	650
875	4564	646
876	4573	641
877	4579	636
878	4591	632
879	4598	627
880	4608	622
881	4623	618
882	4632	613
883	4642	609
884	4654	604
885	4665	600
886	4679	596
887	4698	592
888	4712	588
889	4725	584
890	4741	580
891	4747	574
892	4757	570
893	4768	565
894	4786	561
895	4796	556
896	4813	552
897	4819	547
898	4830	542
899	4841	537
900	4848	532
901	4857	527
902	4863	522
903	4872	517
904	4881	512
905	4890	507
906	4895	501
907	4904	496
908	4913	491
909	4919	486
910	4925	481
911	4930	475
912	4939	470
913	4951	465
914	4960	460
915	4968	455
916	4974	450
917	4977	444
918	4982	439
919	4987	433
920	4993	428
921	5001	423
922	5011	418
923	5022	413
924	5027	407
925	5037	402
926	5042	397
927	5051	391
928	5058	386
929	5066	381
930	5074	376
931	5085	371
932	5093	365
933	5099	360
934	5105	354
935	5115	349
936	5120	344
937	5124	338
938	5129	333
939	5134	327
940	5138	322
941	5143	316
942	5146	311
943	5149	305
944	5155	300
945	5161	294
946	5166	289
947	5171	283
948	5177	278
949	5182	272
950	5190	267
951	5195	261
952	5204	256
953	5213	251
954	5221	246
955	5227	240
956	5236	235
957	5250	230
958	5259	224
959	5270	219
960	5277	214
961	5288	208
962	5299	203
963	5309	198
964	5319	192
965	5327	187
966	5332	181
967	5338	176
968	5345	171
969	5352	165
970	5360	160
971	5367	154
972	5373	149
973	5379	143
974	5386	138
975	5393	132
976	5399	127
977	5409	121
978	5414	116
979	5423	110
980	5435	105
981	5444	99
982	5450	94
983	5456	88
984	5463	83
985	5467	77
986	5473	72
987	5477	66
988	5480	60
989	5484	55
990	5488	49
991	5492	44
992	5498	38
993	5502	33
994	5509	27
995	5516	22
996	5528	16
997	5541	11
998	5559	5
999	5579	0
