iter	RMSE
203	3.187090228
204	3.180044029
205	3.178258595
206	3.170979155
207	3.167834958
208	3.166869964
209	3.163016489
210	3.159960017
211	3.157553528
212	3.156054976
213	3.151831728
214	3.150767614
215	3.14993167
216	3.147294849
217	3.145485289
218	3.141520539
219	3.139928546
220	3.138637076
221	3.135510419
222	3.129816548
223	3.126911043
224	3.125342948
225	3.123749875
226	3.121949798
227	3.120882069
228	3.118521679
229	3.117756244
230	3.115890327
231	3.113297003
232	3.111645894
233	3.110246764
234	3.109610151
235	3.108886747
236	3.107377845
237	3.102832851
238	3.101558524
239	3.100202609
240	3.096245229
241	3.094856616
242	3.093590983
243	3.092666217
244	3.087070819
245	3.085546256
246	3.084887662
247	3.083434138
248	3.082969975
249	3.08238489
250	3.081947775
251	3.080423308
252	3.078258263
253	3.074589505
254	3.073787999
255	3.072755748
256	3.070212337
257	3.069536886
258	3.067813547
259	3.066444267
260	3.064561703
261	3.062382561
262	3.061383982
263	3.056626269
264	3.055878091
265	3.055007968
266	3.053221796
267	3.051816523
268	3.049620678
269	3.047917358
270	3.047040033
271	3.046460995
272	3.044843616
273	3.044446013
274	3.043880597
275	3.043663591
276	3.040876995
277	3.040144417
278	3.03900528
279	3.037741327
280	3.036949448
281	3.034338561
282	3.033349526
283	3.03082616
284	3.029568487
285	3.028267944
286	3.027850776
287	3.026815627
288	3.025983424
289	3.025473759
290	3.02446447
291	3.023947455
292	3.022920412
293	3.022699286
294	3.022168706
295	3.021945851
296	3.021046508
297	3.020671773
298	3.013759762
299	3.013273932
300	3.011763288
301	3.011157628
302	3.009496874
303	3.00823485
304	3.006878613
305	3.005991199
306	3.004037371
307	3.003587128
308	3.000861908
309	2.997268359
310	2.99571492
311	2.994791476
312	2.994451587
313	2.993454766
314	2.992967744
315	2.992428607
316	2.991073562
317	2.989523753
318	2.986427656
319	2.985466076
320	2.979778778
321	2.97405864
322	2.971161575
323	2.970211278
324	2.968322319
325	2.968147566
326	2.966054878
327	2.965735547
328	2.964922119
329	2.963027565
330	2.962716523
331	2.960827163
332	2.958081682
333	2.956916567
334	2.955975874
335	2.955741872
336	2.954068971
337	2.953162789
338	2.951881833
339	2.951234773
340	2.945848061
341	2.943569957
342	2.942252986
343	2.941979159
344	2.941486725
345	2.939161836
346	2.938642882
347	2.937726824
348	2.937118246
349	2.936341463
350	2.933742786
351	2.933447386
352	2.932545025
353	2.931712491
354	2.929963164
355	2.929125811
356	2.928686719
357	2.928423918
358	2.927643781
359	2.926834496
360	2.926125906
361	2.925991211
362	2.925785039
363	2.922493757
364	2.921683146
365	2.920598258
366	2.919385829
367	2.919015484
368	2.913280897
369	2.912566942
370	2.910413868
371	2.910113238
372	2.909237896
373	2.908730715
374	2.908419705
375	2.907437473
376	2.906829124
377	2.906074174
378	2.904907357
379	2.904077883
380	2.90372187
381	2.903429063
382	2.903120115
383	2.901866586
384	2.89955582
385	2.898912496
386	2.897384131
387	2.895657341
388	2.895240679
389	2.894166324
390	2.893937436
391	2.892978849
392	2.891468287
393	2.890851975
394	2.889641511
395	2.887502334
396	2.886378305
397	2.885622107
398	2.884560221
399	2.883619815
400	2.882487782
401	2.88223963
402	2.881705951
403	2.881166835
404	2.88017683
405	2.879869274
406	2.875658735
407	2.871096447
408	2.870875908
409	2.869762131
410	2.869295219
411	2.869023804
412	2.868488342
413	2.863794336
414	2.862515869
415	2.861822994
416	2.861589071
417	2.860472689
418	2.85975546
419	2.858437741
420	2.8579824
421	2.857440608
422	2.854706491
423	2.85404121
424	2.852607949
425	2.848277497
426	2.848099428
427	2.847862932
428	2.846893267
429	2.844917425
430	2.844707675
431	2.84423164
432	2.8407866
433	2.838749879
434	2.837963329
435	2.837464194
436	2.837115236
437	2.836256
438	2.834980738
439	2.834421414
440	2.833443931
441	2.831801687
442	2.831056259
443	2.829951468
444	2.829717006
445	2.829502602
446	2.829057219
447	2.826912239
448	2.825949989
449	2.825777104
450	2.824963263
451	2.824535334
452	2.823849394
453	2.822407266
454	2.819847689
455	2.819602063
456	2.819376333
457	2.818090513
458	2.817276823
459	2.816614894
460	2.816409949
461	2.815868115
462	2.814637256
463	2.814392327
464	2.813491113
465	2.8123647
466	2.811811815
467	2.811275014
468	2.810643236
469	2.810277322
470	2.80995422
471	2.809386401
472	2.808721694
473	2.808567542
474	2.807343671
475	2.806929462
476	2.806804286
477	2.802673289
478	2.802098261
479	2.80109763
480	2.800834445
481	2.798322694
482	2.797772781
483	2.797164391
484	2.796961995
485	2.796758263
486	2.796059903
487	2.795720777
488	2.795367447
489	2.793992665
490	2.789534215
491	2.789370386
492	2.788654034
493	2.788504308
494	2.787561193
495	2.786502616
496	2.785780215
497	2.785037494
498	2.784507276
499	2.782984841
500	2.781737404
501	2.781198595
502	2.780302138
503	2.779261045
504	2.778949599
505	2.778276149
506	2.777470678
507	2.776508672
508	2.774789011
509	2.771695935
510	2.771448744
511	2.769078009
512	2.768163143
513	2.766843377
514	2.765833211
515	2.765482904
516	2.765277069
517	2.763775771
518	2.762831968
519	2.76216487
520	2.761751592
521	2.761486793
522	2.759587095
523	2.758628355
524	2.752655816
525	2.75133776
526	2.750114078
527	2.749565285
528	2.748998898
529	2.748173744
530	2.74797629
531	2.747457248
532	2.747269185
533	2.746855711
534	2.746507159
535	2.745974809
536	2.74514376
537	2.744288424
538	2.743923765
539	2.741376976
540	2.740775943
541	2.740516665
542	2.740085913
543	2.73905605
544	2.738591703
545	2.738125196
546	2.737207994
547	2.737009085
548	2.736236913
549	2.735871571
550	2.735161274
551	2.734737665
552	2.733014383
553	2.730298825
554	2.729667972
555	2.728832234
556	2.728722341
557	2.728421255
558	2.727167194
559	2.724814183
560	2.724379205
561	2.722331279
562	2.721983597
563	2.721863705
564	2.721203627
565	2.72061047
566	2.719001729
567	2.718639613
568	2.718348583
569	2.717853047
570	2.717638435
571	2.716857936
572	2.715899574
573	2.715195199
574	2.714401665
575	2.713173647
576	2.712221533
577	2.711936332
578	2.710732966
579	2.709514237
580	2.709003626
581	2.70884847
582	2.706416936
583	2.706048142
584	2.70485864
585	2.703972173
586	2.703157851
587	2.702395663
588	2.701835223
589	2.701568444
590	2.70107639
591	2.700722864
592	2.700025274
593	2.699538151
594	2.699389446
595	2.698794905
596	2.69870338
597	2.698442429
598	2.696839338
599	2.696623001
600	2.696058081
601	2.69504386
602	2.693889315
603	2.693248304
604	2.692994374
605	2.692003504
606	2.691241253
607	2.690607929
608	2.690086897
609	2.689585363
610	2.686958015
611	2.686624628
612	2.686137733
613	2.68552231
614	2.682327349
615	2.681553201
616	2.681139478
617	2.680785471
618	2.68005235
619	2.679030616
620	2.678558536
621	2.677953674
622	2.677521642
623	2.676201322
624	2.675711029
625	2.674464551
626	2.674383181
627	2.673832888
628	2.673015426
629	2.671997463
630	2.671425593
631	2.67051088
632	2.668789737
633	2.664855916
634	2.664186716
635	2.663600159
636	2.663362378
637	2.662879484
638	2.662221431
639	2.661209312
640	2.660678392
641	2.659315465
642	2.657817441
643	2.657119282
644	2.656560518
645	2.655954795
646	2.655603587
647	2.655372022
648	2.654975511
649	2.654715654
650	2.653918381
651	2.653663007
652	2.653164188
653	2.652578975
654	2.651317932
655	2.650725537
656	2.648600917
657	2.647704451
658	2.647018936
659	2.645563566
660	2.645382928
661	2.644800625
662	2.643756954
663	2.643300772
664	2.642456172
665	2.641922039
666	2.641075042
667	2.639890789
668	2.639504433
669	2.638971287
670	2.635738185
671	2.635694713
672	2.635478402
673	2.634799232
674	2.632495489
675	2.632125878
676	2.631454238
677	2.631174835
678	2.630476842
679	2.630088962
680	2.62950221
681	2.629124124
682	2.628900674
683	2.628469351
684	2.627877031
685	2.627733826
686	2.627455909
687	2.62557114
688	2.624665735
689	2.62185801
690	2.620884133
691	2.619880514
692	2.619519216
693	2.618478528
694	2.618106253
695	2.617975515
696	2.617491749
697	2.616960798
698	2.616699716
699	2.61560814
700	2.615216204
701	2.614822793
702	2.614248035
703	2.613311833
704	2.612183399
705	2.611187485
706	2.611006248
707	2.610353643
708	2.608957377
709	2.608311649
710	2.608037634
711	2.607820157
712	2.60665502
713	2.606389011
714	2.606154122
715	2.606029167
716	2.605989718
717	2.605740189
718	2.605284079
719	2.604988203
720	2.603832719
721	2.603234208
722	2.602954152
723	2.600225807
724	2.59977654
725	2.597048641
726	2.596583855
727	2.593894553
728	2.593600869
729	2.591583038
730	2.590401959
731	2.590220949
732	2.589800334
733	2.58943855
734	2.588400994
735	2.5880073
736	2.58766818
737	2.586438249
738	2.58568301
739	2.585427114
740	2.585342438
741	2.584910547
742	2.584507736
743	2.58369879
744	2.583258214
745	2.583121921
746	2.582471293
747	2.581782341
748	2.581272642
749	2.579996368
750	2.579357572
751	2.579111887
752	2.578555758
753	2.578523393
754	2.578215242
755	2.577434014
756	2.576583605
757	2.576305822
758	2.574091587
759	2.573916248
760	2.573588722
761	2.572742352
762	2.572273018
763	2.571660887
764	2.571607007
765	2.571111747
766	2.571052305
767	2.570418229
768	2.570367519
769	2.570094709
770	2.569863921
771	2.569379454
772	2.567555827
773	2.567128975
774	2.566380099
775	2.566253591
776	2.566121019
777	2.565409875
778	2.565222524
779	2.5650451
780	2.564584701
781	2.564250712
782	2.562812332
783	2.562134892
784	2.561903327
785	2.561738497
786	2.56141936
787	2.561096929
788	2.559853689
789	2.559399861
790	2.557431517
791	2.557080991
792	2.555548878
793	2.554633168
794	2.554264625
795	2.553805769
796	2.552970821
797	2.55201425
798	2.551663877
799	2.551313842
800	2.550822782
801	2.55004024
802	2.550020607
803	2.549199847
804	2.54865964
805	2.547783021
806	2.547027381
807	2.546838082
808	2.546188474
809	2.545371412
810	2.545099824
811	2.544959932
812	2.544558339
813	2.543727821
814	2.543578764
815	2.543281926
816	2.542726136
817	2.542279394
818	2.541924158
819	2.541673282
820	2.541539151
821	2.540796867
822	2.540093104
823	2.539815399
824	2.539282247
825	2.538937817
826	2.538392178
827	2.538242754
828	2.537363916
829	2.537144866
830	2.536323015
831	2.53573615
832	2.535605805
833	2.534958663
834	2.533435355
835	2.532865637
836	2.532793051
837	2.530925602
838	2.53031995
839	2.530033649
840	2.529028393
841	2.528398579
842	2.528161168
843	2.527628223
844	2.526523974
845	2.526367006
846	2.526343253
847	2.525777765
848	2.525394188
849	2.524869947
850	2.5243198
851	2.523911339
852	2.52345071
853	2.522052688
854	2.521547367
855	2.52069506
856	2.519872564
857	2.518220263
858	2.518068407
859	2.517476974
860	2.517194974
861	2.517061425
862	2.514808098
863	2.514224775
864	2.513979029
865	2.513835697
866	2.513019221
867	2.51293184
868	2.512105854
869	2.511867613
870	2.510410068
871	2.508972263
872	2.507814516
873	2.507011127
874	2.50640886
875	2.505516986
876	2.505220871
877	2.505128096
878	2.503737859
879	2.502207092
880	2.502163937
881	2.501738942
882	2.501371507
883	2.50125476
884	2.501164972
885	2.500334458
886	2.498825926
887	2.498687614
888	2.498110169
889	2.497610986
890	2.497542506
891	2.497218556
892	2.49662065
893	2.496282812
894	2.495847907
895	2.495687838
896	2.495038877
897	2.494506866
898	2.494172355
899	2.49313326
900	2.492229111
901	2.491283861
902	2.490973534
903	2.49069594
904	2.489951887
905	2.489209399
906	2.488900096
907	2.488394288
908	2.487718815
909	2.487049291
910	2.486889461
911	2.486520765
912	2.485722737
913	2.483852084
914	2.483315376
915	2.480924753
916	2.480554654
917	2.47954111
918	2.479353948
919	2.47880768
920	2.478602048
921	2.477846336
922	2.476985519
923	2.47660395
924	2.476202756
925	2.475941771
926	2.47457151
927	2.473977852
928	2.47326197
929	2.472822956
930	2.472090687
931	2.471827006
932	2.47171796
933	2.471346246
934	2.470897242
935	2.469696827
936	2.468742451
937	2.467297531
938	2.467082726
939	2.466588975
940	2.466384711
941	2.465714754
942	2.46459393
943	2.46300666
944	2.462498612
945	2.462299175
946	2.461967391
947	2.461282617
948	2.460693115
949	2.460085842
950	2.459336683
951	2.457711817
952	2.457143827
953	2.456523344
954	2.456274422
955	2.456219857
956	2.455750232
957	2.455498397
958	2.455379476
959	2.454579584
960	2.454457662
961	2.453928286
962	2.453908132
963	2.453508162
964	2.453291954
965	2.453126484
966	2.452658309
967	2.452410825
968	2.451964336
969	2.451767315
970	2.451247333
971	2.451143324
972	2.450874612
973	2.450333623
974	2.449810599
975	2.44967987
976	2.449104642
977	2.448707245
978	2.448698731
979	2.447659988
980	2.447560764
981	2.446663808
982	2.445776911
983	2.445558721
984	2.445345416
985	2.444994304
986	2.444214548
987	2.444017714
988	2.44357064
989	2.442149721
990	2.441315093
991	2.441108966
992	2.440959968
993	2.439421249
994	2.438731592
995	2.437913494
996	2.437689577
997	2.437074649
998	2.436758441
999	2.436383712
